449
449

--- BACKTEST RESULT ---
Balance: 35080.83
PnL:     34980.83

--- TRADES ---
Total:    2429
Win rate: 42.77%

--- PERFORMANCE ---
Avg Win:       484.95
Avg Loss:      -337.32
Profit Factor: 1.07
Expectancy:    14.40

--- RISK ---
Max Drawdown: 68.48%

--- BEHAVIOR ---
Avg Hold: 167.40 bars
Full Stats (Sorted by Losses):
┌─────────┬───────────────────────┬──────┬────────┬──────────┬─────────┐
│ (index) │ Symbol                │ Wins │ Losses │ TotalPnL │ WinRate │
│ 255     │ '2ZUSDT'              │ 2    │ 2      │ 15.16    │ 50      │
│ 256     │ 'COOKIEUSDT'          │ 2    │ 2      │ -28.94   │ 50      │
│ 257     │ 'AIOUSDT'             │ 1    │ 2      │ 20.83    │ 33.33   │
│ 258     │ 'APEXUSDT'            │ 1    │ 2      │ -19.15   │ 33.33   │
│ 259     │ 'BANKUSDT'            │ 1    │ 2      │ 18       │ 33.33   │
│ 260     │ 'SIGNUSDT'            │ 0    │ 2      │ -22.6    │ 0       │
│ 261     │ 'JCTUSDT'             │ 1    │ 2      │ -5.61    │ 33.33   │
│ 262     │ 'HYPEUSDT'            │ 4    │ 2      │ -28.13   │ 66.67   │
│ 263     │ 'HMSTRUSDT'           │ 3    │ 2      │ -38.6    │ 60      │
│ 264     │ '1000BTTUSDT'         │ 2    │ 2      │ 766.4    │ 50      │
│ 265     │ 'LAUSDT'              │ 1    │ 2      │ -12.08   │ 33.33   │
│ 266     │ 'AKEUSDT'             │ 0    │ 2      │ -51.44   │ 0       │
│ 267     │ 'FLUIDUSDT'           │ 0    │ 2      │ -49.14   │ 0       │
│ 268     │ 'B2USDT'              │ 2    │ 2      │ 60.4     │ 50      │
│ 269     │ 'ICNTUSDT'            │ 1    │ 2      │ -16.52   │ 33.33   │
│ 270     │ 'API3USDT'            │ 0    │ 2      │ -144.04  │ 0       │
│ 271     │ 'FLUXUSDT'            │ 4    │ 2      │ 166.93   │ 66.67   │
│ 272     │ 'FORMUSDT'            │ 2    │ 2      │ 31.51    │ 50      │
│ 273     │ 'SLPUSDT'             │ 2    │ 2      │ 2540.93  │ 50      │
│ 274     │ 'MYXUSDT'             │ 0    │ 2      │ -50.04   │ 0       │
│ 275     │ 'DYDXUSDT'            │ 4    │ 2      │ 1520.97  │ 66.67   │
│ 276     │ 'KSMUSDT'             │ 3    │ 2      │ 3011.69  │ 60      │
│ 277     │ 'IPUSDT'              │ 2    │ 2      │ 36.66    │ 50      │
│ 278     │ 'BNBUSDT'             │ 1    │ 2      │ 2050.94  │ 33.33   │
│ 279     │ 'GMTUSDT'             │ 1    │ 2      │ 96.22    │ 33.33   │
│ 280     │ 'RLCUSDT'             │ 3    │ 2      │ -869.81  │ 60      │
│ 281     │ 'ALGOUSDT'            │ 3    │ 2      │ -51.36   │ 60      │
│ 282     │ 'AAVEUSDT'            │ 0    │ 2      │ -510.2   │ 0       │
│ 283     │ 'LPTUSDT'             │ 1    │ 2      │ 290.94   │ 33.33   │
│ 284     │ 'BCHUSDT'             │ 1    │ 2      │ -1852.57 │ 33.33   │
│ 285     │ 'REQUSDT'             │ 2    │ 2      │ 2500.03  │ 50      │
│ 286     │ 'AVAXUSDT'            │ 1    │ 2      │ 826.57   │ 33.33   │
│ 287     │ 'IOTAUSDT'            │ 1    │ 2      │ 2915.33  │ 33.33   │
│ 288     │ 'IOTXUSDT'            │ 1    │ 2      │ -453.36  │ 33.33   │
│ 289     │ 'ETHUSDT'             │ 0    │ 2      │ -5090.14 │ 0       │
│ 290     │ 'CLOUSDT'             │ 1    │ 1      │ 0.4      │ 50      │
│ 291     │ 'SENTUSDT'            │ 0    │ 1      │ -3.58    │ 0       │
│ 292     │ 'GRTUSDT'             │ 1    │ 1      │ 975.58   │ 50      │
